ÈÕÆÚ,¹ÉÆ±´úÂë,Ãû³Æ,ÊÕÅÌ¼Û,×î¸ß¼Û,×îµÍ¼Û,¿ªÅÌ¼Û,Ç°ÊÕÅÌ,ÕÇµø¶î,ÕÇµø·ù,»»ÊÖÂÊ,³É½»Á¿,³É½»½ð¶î,×ÜÊÐÖµ,Á÷Í¨ÊÐÖµ
2020-09-21,'000858,Îå Á¸ Òº,224.9,229.55,224.47,228.0,229.52,-4.62,-2.0129,0.3432,13028469,2942680885.29,8.72973640324e+11,8.53712915328e+11
2020-09-18,'000858,Îå Á¸ Òº,229.52,229.52,220.82,222.65,222.65,6.87,3.0856,0.5009,19015650,4291299127.94,8.90906669308e+11,8.71250281574e+11
2020-09-17,'000858,Îå Á¸ Òº,222.65,226.0,218.9,222.06,226.02,-3.37,-1.491,0.6007,22801632,5066620919.79,8.64240022313e+11,8.45171990208e+11
2020-09-16,'000858,Îå Á¸ Òº,226.02,232.19,225.0,230.74,230.33,-4.31,-1.8712,0.4861,18453747,4206118388.09,8.7732104129e+11,8.57964398054e+11
2020-09-15,'000858,Îå Á¸ Òº,230.33,231.4,228.0,230.0,230.08,0.25,0.1087,0.3171,12036547,2765306525.56,8.94050771792e+11,8.74325014618e+11
2020-09-14,'000858,Îå Á¸ Òº,230.08,231.44,224.18,229.08,227.88,2.2,0.9654,0.5466,20749216,4747190668.99,8.9308036979e+11,8.73376022938e+11
2020-09-11,'000858,Îå Á¸ Òº,227.88,227.88,220.18,221.45,223.2,4.68,2.0968,0.5393,20470064,4597798171.25,8.84540832179e+11,8.65024896154e+11
2020-09-10,'000858,Îå Á¸ Òº,223.2,225.76,219.96,220.0,217.0,6.2,2.8571,0.61,23154133,5168118227.55,8.66374906716e+11,8.47259771904e+11
2020-09-09,'000858,Îå Á¸ Òº,217.0,220.66,216.0,218.81,221.93,-4.93,-2.2214,0.5982,22706135,4950173117.73,8.42308937085e+11,8.2372477824e+11
2020-09-08,'000858,Îå Á¸ Òº,221.93,229.35,217.6,227.14,226.89,-4.96,-2.1861,0.9407,35708526,7906064618.82,8.6144526455e+11,8.4243889417e+11
2020-09-07,'000858,Îå Á¸ Òº,226.89,233.45,225.1,229.35,230.22,-3.33,-1.4464,0.6223,23622659,5428172452.06,8.80698040254e+11,8.61266889101e+11
2020-09-04,'000858,Îå Á¸ Òº,230.22,234.0,226.27,234.0,238.64,-8.42,-3.5283,0.9771,37092062,8495154315.04,8.93623794911e+11,8.73907458278e+11
2020-09-03,'000858,Îå Á¸ Òº,238.64,243.0,235.19,235.4,235.0,3.64,1.5489,0.7263,27569574,6599198582.21,9.26306934313e+11,9.05869498061e+11
2020-09-02,'000858,Îå Á¸ Òº,235.0,239.78,233.8,235.2,236.24,-1.24,-0.5249,0.5172,19633125,4642766180.07,9.12177881175e+11,8.920521792e+11
2020-09-01,'000858,Îå Á¸ Òº,236.24,239.8,233.1,237.48,240.0,-3.76,-1.5667,0.7926,30087024,7091377402.81,9.16991075101e+11,8.96759177933e+11
2020-08-31,'000858,Îå Á¸ Òº,240.0,246.7,240.0,242.0,240.5,-0.5,-0.2079,0.8317,31571514,7691010330.72,9.315859212e+11,9.110320128e+11
2020-08-28,'000858,Îå Á¸ Òº,240.5,244.86,233.2,235.98,238.08,2.42,1.0165,0.8621,32724152,7823482204.55,9.33526725202e+11,9.1292999616e+11
2020-08-27,'000858,Îå Á¸ Òº,238.08,238.98,231.14,238.98,236.65,1.43,0.6043,0.5624,21348858,5024119736.09,9.2413323383e+11,9.03743756698e+11
2020-08-26,'000858,Îå Á¸ Òº,236.65,239.87,232.2,235.4,235.6,1.05,0.4457,0.6905,26209992,6176301738.01,9.18582534383e+11,8.98315524288e+11
2020-08-25,'000858,Îå Á¸ Òº,235.6,236.75,225.99,226.0,225.0,10.6,4.7111,0.7521,28547871,6659413393.18,9.14506845978e+11,8.94329759232e+11
2020-08-24,'000858,Îå Á¸ Òº,225.0,226.3,219.19,219.98,218.4,6.6,3.022,0.6099,23152218,5170962343.5,8.73361801125e+11,8.54092512e+11
2020-08-21,'000858,Îå Á¸ Òº,218.4,220.98,216.44,220.0,216.44,1.96,0.9056,0.4144,15731861,3438178399.95,8.47743188292e+11,8.29039131648e+11
