日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量,成交金额,总市值,流通市值
2020-09-21,'600519,贵州茅台,1666.8,1692.76,1666.66,1692.76,1695.0,-28.2,-1.6637,0.1787,2244407,3756765108.0,2093830493040.0,2093830493040.0
2020-09-18,'600519,贵州茅台,1695.0,1695.0,1635.01,1665.0,1670.52,24.48,1.4654,0.3757,4720140,7853673241.0,2129255271000.0,2129255271000.0
2020-09-17,'600519,贵州茅台,1670.52,1700.0,1658.0,1700.0,1725.1,-54.58,-3.1639,0.5069,6367985,10683350187.0,2098503548860.0,2098503548860.0
2020-09-16,'600519,贵州茅台,1725.1,1764.81,1719.0,1760.0,1760.0,-34.9,-1.983,0.1792,2251598,3916457762.0,2167066824780.0,2167066824780.0
2020-09-15,'600519,贵州茅台,1760.0,1769.99,1747.75,1769.99,1766.0,-6.0,-0.3398,0.1657,2082087,3654872009.0,2210908128000.0,2210908128000.0
2020-09-14,'600519,贵州茅台,1766.0,1769.0,1730.58,1745.0,1733.0,33.0,1.9042,0.2472,3105601,5448188995.0,2218445314800.0,2218445314800.0
2020-09-11,'600519,贵州茅台,1733.0,1736.0,1688.0,1688.0,1705.8,27.2,1.5946,0.2475,3108800,5339883408.0,2176990787400.0,2176990787400.0
2020-09-10,'600519,贵州茅台,1705.8,1720.0,1700.0,1703.74,1688.0,17.8,1.0545,0.1972,2477833,4236694402.0,2142822207240.0,2142822207240.0
2020-09-09,'600519,贵州茅台,1688.0,1711.0,1680.04,1699.67,1711.4,-23.4,-1.3673,0.2067,2596355,4401806095.0,2120461886400.0,2120461886400.0
2020-09-08,'600519,贵州茅台,1711.4,1737.8,1677.07,1732.0,1723.5,-12.1,-0.7021,0.2744,3447238,5865962724.0,2149856914920.0,2149856914920.0
2020-09-07,'600519,贵州茅台,1723.5,1777.99,1703.97,1760.0,1770.0,-46.5,-2.6271,0.2477,3111202,5446354619.0,2165056908300.0,2165056908300.0
2020-09-04,'600519,贵州茅台,1770.0,1776.99,1746.0,1766.0,1793.0,-23.0,-1.2828,0.2456,3085796,5433479408.0,2223470106000.0,2223470106000.0
2020-09-03,'600519,贵州茅台,1793.0,1812.0,1779.7,1795.0,1795.0,-2.0,-0.1114,0.2423,3043735,5471333880.0,2252362655400.0,2252362655400.0
2020-09-02,'600519,贵州茅台,1795.0,1828.0,1770.0,1825.0,1801.98,-6.98,-0.3874,0.2548,3200929,5746351923.0,2254875051000.0,2254875051000.0
2020-09-01,'600519,贵州茅台,1801.98,1802.0,1775.01,1792.0,1786.5,15.48,0.8665,0.2519,3163992,5661594315.0,2263643311640.0,2263643311640.0
2020-08-31,'600519,贵州茅台,1786.5,1816.0,1770.58,1770.58,1757.0,29.5,1.679,0.3806,4781036,8608932570.0,2244197369700.0,2244197369700.0
2020-08-28,'600519,贵州茅台,1757.0,1764.0,1721.5,1731.0,1731.0,26.0,1.502,0.3367,4229962,7389242302.0,2207139534600.0,2207139534600.0
